code,name,company,sector
1332,ニッスイ,（株）ニッスイ,水産
1605,ＩＮＰＥＸ,（株）ＩＮＰＥＸ,鉱業
1662,石油資源,石油資源開発（株）,鉱業
1414,ショーボンド,ショーボンドホールディングス（株）,建設
1719,安藤ハザマ,（株）安藤・間,建設
1721,コムシスＨＤ,コムシスホールディングス（株）,建設
1801,大成建,大成建設（株）,建設
1802,大林組,（株）大林組,建設
1803,清水建,清水建設（株）,建設
1808,長谷工,（株）長谷工コーポレーション,建設
1812,鹿島,鹿島建設（株）,建設
1885,東亜建,東亜建設工業（株）,建設
1893,五洋建,五洋建設（株）,建設
1911,住友林,住友林業（株）,建設
1925,ハウス,大和ハウス工業（株）,建設
1928,積ハウス,積水ハウス（株）,建設
1942,関電工,（株）関電工,建設
1944,きんでん,（株）きんでん,建設
1951,エクシオＧ,エクシオグループ（株）,建設
1959,クラフティア,（株）クラフティア,建設
1961,三機工,三機工業（株）,建設
1969,高砂熱,高砂熱学工業（株）,建設
1980,ダイダン,ダイダン（株）,建設
5076,インフロニア,インフロニア・ホールディングス（株）,建設
2201,森永,森永製菓（株）,食品
2212,山パン,山崎製パン（株）,食品
2222,寿スピリッツ,寿スピリッツ（株）,食品
2229,カルビー,カルビー（株）,食品
2264,森永乳,森永乳業（株）,食品
2267,ヤクルト,（株）ヤクルト本社,食品
2269,明治ＨＤ,明治ホールディングス（株）,食品
2503,キリンＨＤ,キリンホールディングス（株）,食品
2587,サントリＢＦ,サントリービバレッジ＆フード（株）,食品
2801,キッコマン,キッコーマン（株）,食品
2802,味の素,味の素（株）,食品
2811,カゴメ,カゴメ（株）,食品
2871,ニチレイ,（株）ニチレイ,食品
2875,東洋水,東洋水産（株）,食品
2897,日清食ＨＤ,日清食品ホールディングス（株）,食品
2914,ＪＴ,日本たばこ産業（株）,食品
3402,東レ,東レ（株）,繊維
4004,レゾナック,（株）レゾナック・ホールディングス,化学
4021,日産化,日産化学（株）,化学
4042,東ソー,東ソー（株）,化学
4063,信越化,信越化学工業（株）,化学
4091,日本酸素ＨＤ,日本酸素ホールディングス（株）,化学
4183,三井化学,三井化学（株）,化学
4186,東応化,東京応化工業（株）,化学
4202,ダイセル,（株）ダイセル,化学
4203,住友ベ,住友ベークライト（株）,化学
4204,積水化,積水化学工業（株）,化学
4206,アイカ,アイカ工業（株）,化学
4401,ＡＤＥＫＡ,（株）ＡＤＥＫＡ,化学
4403,日油,日油（株）,化学
4452,花王,花王（株）,化学
4612,日本ペＨＤ,日本ペイントホールディングス（株）,化学
4613,関西ペ,関西ペイント（株）,化学
4626,太陽ＨＤ,太陽ホールディングス（株）,化学
4901,富士フイルム,富士フイルムホールディングス（株）,化学
4966,上村工,上村工業（株）,化学
4980,デクセリ,デクセリアルズ（株）,化学
6988,日東電,日東電工（株）,化学
8113,ユニチャーム,ユニ・チャーム（株）,化学
4151,協和キリン,協和キリン（株）,医薬品
4503,アステラス,アステラス製薬（株）,医薬品
4507,塩野義,塩野義製薬（株）,医薬品
4516,日本新薬,日本新薬（株）,医薬品
4519,中外薬,中外製薬（株）,医薬品
4523,エーザイ,エーザイ（株）,医薬品
4527,ロート,ロート製薬（株）,医薬品
4528,小野薬,小野薬品工業（株）,医薬品
4536,参天薬,参天製薬（株）,医薬品
4568,第一三共,第一三共（株）,医薬品
4578,大塚ＨＤ,大塚ホールディングス（株）,医薬品
5019,出光興産,出光興産（株）,石油
5020,ＥＮＥＯＳ,ＥＮＥＯＳホールディングス（株）,石油
5021,コスモＨＤ,コスモエネルギーホールディングス（株）,石油
5101,浜ゴム,横浜ゴム（株）,ゴム
5105,ＴＯＹＯ,ＴＯＹＯ　ＴＩＲＥ（株）,ゴム
5108,ブリヂストン,（株）ブリヂストン,ゴム
3110,日東紡,日東紡績（株）,窯業
5332,ＴＯＴＯ,ＴＯＴＯ（株）,窯業
5333,ＮＧＫ,ＮＧＫ（株）,窯業
5334,特殊陶,日本特殊陶業（株）,窯業
5344,ＭＡＲＵＷＡ,（株）ＭＡＲＵＷＡ,窯業
5393,ニチアス,ニチアス（株）,窯業
5401,日本製鉄,日本製鉄（株）,鉄鋼
5406,神戸鋼,（株）神戸製鋼所,鉄鋼
5411,ＪＦＥ,ＪＦＥホールディングス（株）,鉄鋼
5471,大同特鋼,大同特殊鋼（株）,鉄鋼
5706,三井金属,三井金属（株）,非鉄・金属
5713,住友鉱,住友金属鉱山（株）,非鉄・金属
5714,ＤＯＷＡ,ＤＯＷＡホールディングス（株）,非鉄・金属
5741,ＵＡＣＪ,（株）ＵＡＣＪ,非鉄・金属
5801,古河電,古河電気工業（株）,非鉄・金属
5802,住友電,住友電気工業（株）,非鉄・金属
5803,フジクラ,（株）フジクラ,非鉄・金属
